name,lat,lon,type,amenity,tags
Lendingham Park,49.2175784,-122.9966751,nature,nature,{}
Riverside Adventure Park,49.20471098293041,-122.93328084029991,nature,nature,{}
Glenbrook Ravine Park,49.218310121626466,-122.90143747603845,nature,nature,{}
Simcoe Park,49.20367775647591,-122.91684751349791,nature,nature,{}
Ron McLean Park,49.21373231078721,-122.96605622454449,nature,nature,{}
Queen's Park,49.21514179515428,-122.90597179869077,nature,nature,{}
Elgin Heritage Park / Stewart Farm / Wards Marina,49.065296947316455,-122.84231231059846,nature,nature,{}
Elgin Heritage Park,49.06475631575158,-122.84681255236485,nature,nature,{}
Elgin Heritage Park,49.066243720547604,-122.83863981691071,nature,nature,{}
Elgin Heritage Park,49.06821888091131,-122.83648096586951,nature,nature,{}
Shannon Hill Park,49.10111662204905,-122.71658269119602,nature,nature,{}
Nitobe Memorial Garden,49.26623513219108,-123.259655453173,nature,nature,{}
Moffat Memorial Park,49.17421735050947,-122.88324917434998,nature,nature,{}
Princess Margaret Park,49.130846925610406,-122.86595849069865,nature,nature,{}
Unwin Park,49.12824960253934,-122.85378195687959,nature,nature,{}
Boundary Park,49.11375521458779,-122.88388073995219,nature,nature,{}
Newton Reservoir Park,49.11620592585068,-122.86962439409004,nature,nature,{}
Corrigan Park,49.11007744152752,-122.87463905549414,nature,nature,{}
Iona Beach Regional Park,49.21625384737156,-123.20673166032692,nature,nature,{}
Sukh Sagar Park | ਸੁਖ ਸਾਗਰ ਪਾਰਕ,49.18938209677104,-122.93999978105718,nature,nature,{}
Sunrise Park,49.31072578294278,-123.04511480019093,nature,nature,{}
Sapperton Landing Park,49.21637831104055,-122.89338450814382,nature,nature,{}
North Surrey Community Park,49.17882099630238,-122.78286323037766,nature,nature,{}
Hyland Creek Park,49.12176425613096,-122.83677466981085,nature,nature,{}
Hadden Park,49.27768744096496,-123.14788953193154,nature,nature,{}
East View Trail Park,49.1427461782674,-122.87612582198527,nature,nature,{}
Lynn Canyon Park,49.34228797662612,-123.02112166265674,nature,nature,{}
Mahon Park,49.32434411930894,-123.08637604945314,nature,nature,{}
Upper Levels Greenway,49.330873742161295,-123.05517945909627,nature,nature,{}
