name,lat,lon,type,amenity,tags
Samurai Japanese Restaurant,49.2805385,-123.1316982,food,food,{}
Shin Ju,49.2636948,-123.1364258,food,food,{}
Pedro's Organic Coffee House,49.270247,-123.136425,food,food,{}
Western Lake,49.2393603,-123.065574,food,food,{}
Shiro Japanese Restaurant,49.257958,-123.114616,food,food,{}
PHO TRAN,49.0589295,-122.4953007,food,food,{}
The Stand,49.2501092,-123.0015799,food,food,{}
Fuse Cafe,49.2513348,-122.999477,food,food,{}
Tim Hortons Express,49.2540202,-123.001417,food,food,{}
Austin Grill,49.2538725,-123.0014254,food,food,{}
Wicked Cafe,49.2654214,-123.1358776,food,food,{}
The Firewood Café,49.2585083,-123.1148332,food,food,{}
Tropika,49.2589022,-123.1152483,food,food,{}
Hi Nippon,49.2680378,-123.1569284,food,food,{}
Yokozna Sushi,49.2715034,-122.7553352,food,food,{}
Sky Dragon,49.2708428,-122.7572194,food,food,{}
San Remo Pizza,49.2676015,-122.7733233,food,food,{}
Sushi Hanabi,49.2695561,-123.1399852,food,food,{}
HY Tea Lounge,49.2693476,-123.1398578,food,food,{}
Wall Flowers,49.2803909,-123.12543,food,food,{}
Pâtisserie Lebeau,49.2696443,-123.1439762,food,food,{}
Jade Palace Chinese Restaurant,49.2807898,-123.002171,food,food,{}
A Taste of Vietnam,49.263253,-123.1271262,food,food,{}
Yee Cafe,49.2341725,-123.140139,food,food,{}
Mi Casa Mexicana,49.2678006,-123.1458856,food,food,{}
Maxim's Bakery & Restaurant,49.2795498,-123.0978304,food,food,{}
The Boss Bakery & Restaurant,49.2798304,-123.0994522,food,food,{}
Sushia,49.2539408,-122.918584,food,food,{}
BoatHouse,49.280924,-122.8505391,food,food,{}
Bombay,49.2720535,-122.7890489,food,food,{}
Hart House Restaurant,49.2383705,-122.96641,food,food,{}
Han Lin Noodle House,49.2104036,-122.9171086,food,food,{}
4 Seasons Chaat House,49.2107401,-122.917535,food,food,{}
Massawa Restaurant,49.2106493,-122.9174243,food,food,{}
Kojima Sushi,49.2105249,-122.91724,food,food,{}
Artusi,49.2105935,-122.917341,food,food,{}
Go Dine Kanadiyan,49.2120122,-122.921168,food,food,{}
Peri Peri Shack,49.2098655,-122.916439,food,food,{}
Taqueria Playa Tropical,49.2097463,-122.916319,food,food,{}
Flavour Balance Espresso Bar,49.2120086,-122.9205067,food,food,{}
Yianni's Greek Taverna,49.2125723,-122.919333,food,food,{}
The Chopped Leaf,49.2125198,-122.919269,food,food,{}
Sixth Street Grill,49.2108405,-122.9171692,food,food,{}
Papa Dave's Pizza,49.2034568,-122.949735,food,food,{}
Pho Maxima,49.2034925,-122.949775,food,food,{}
Axum Ethiopian Restaurant,49.2815418,-123.0777932,food,food,{}
Ban Bu Xian Szechuan Cuisine,49.2327002,-123.023833,food,food,{}
Shoku,49.2636752,-123.1306845,food,food,{}
Tojos,49.2636245,-123.1298503,food,food,{}
Mazahr Lebanese Kitchen,49.2615797,-123.1381671,food,food,{}
Bubble Waffle Cafe,49.191214,-122.9472524,food,food,{}
Tozen Sushi Bar,49.263554,-123.1256923,food,food,{}
ChiuChow Seafood Restaurant,49.2606319,-123.1153899,food,food,{}
Artistry Coffee Shop & Bistro,49.2685244,-123.1709004,food,food,{}
Pelicana Chicken,49.2526152,-122.8981989,food,food,{}
Hiel Cafe,49.2190107,-122.928008,food,food,{}
Magma Cafè,49.262659,-123.251744,food,food,{}
Fong's Eatery,49.0528126,-122.880841,food,food,{}
Harbour House Restaurant,49.0526999,-122.883046,food,food,{}
Crescent Beach Bistro,49.0528305,-122.882404,food,food,{}
Golden Lion Restaurant,49.0446936,-122.7936552,food,food,{}
The Sunflower Cafe,49.0529016,-122.880776,food,food,{}
The Vault,49.1071092,-122.734777,food,food,{}
Showshaa - The Modern Taproom,49.0573041,-122.8007329,food,food,{}
The Cabin Restaurant,49.0528614,-122.880978,food,food,{}
Crispy Falafel,49.0459091,-122.7933684,food,food,{}
Crescent Coffee House,49.0526322,-122.883266,food,food,{}
Ken's Tea House,49.1970049,-122.8464156,food,food,{}
Huyen Cafe,49.1946233,-122.8466723,food,food,{}
Guacamole Mexican Grill,49.1967314,-122.8456602,food,food,{}
Alebi African Cuisine,49.1970164,-122.8462529,food,food,{}
Goto Moto & Huong Que,49.1967391,-122.8459387,food,food,{}
Taqueria Jalisco Mexican Restaurant,49.1967353,-122.8460612,food,food,{}
Mek's Delight,49.1913473,-122.8086585,food,food,{}
Prairie Cafe,49.1650525,-122.799192,food,food,{}
Inchin's Bamboo Garden,49.1575909,-122.7801401,food,food,{}
Ruben's Restaurant & Food Store,49.1650157,-122.799088,food,food,{}
Chili House Restaurant,49.1149175,-122.6802485,food,food,{}
Old Surrey Restaurant,49.1337529,-122.8488883,food,food,{}
Pho Japolo,49.2642246,-123.1686344,food,food,{}
Radish,49.2705703,-123.1472574,food,food,{}
Kuma,49.2560724,-123.1849106,food,food,{}
Fiore,49.2609085,-123.1382643,food,food,{}
Café Crêpe,49.2601931,-123.1389468,food,food,{}
Bean Around The World,49.2591796,-123.1389048,food,food,{}
Momono Tea Shop,49.2586257,-123.13851,food,food,{}
Liberty Bakery,49.25193,-123.1011606,food,food,{}
Coco & Olive,49.2516862,-123.101184,food,food,{}
Blenz,49.2476955,-123.1008954,food,food,{}
Sophies Cosmic Cafe,49.2682468,-123.1525549,food,food,{}
De Dutch,49.2572846,-123.1269819,food,food,{}
Comma Cafe,49.256999,-123.1270226,food,food,{}
Joon's Kitchen,49.2579918,-123.127169,food,food,{}
Apollinia,49.2693793,-123.1406248,food,food,{}
Innocent Coffee,49.266587,-123.135408,food,food,{}
Siegel's Bagels,49.2723817,-123.1352724,food,food,{}
Petit Ami,49.2725816,-123.135486,food,food,{}
The Blue Parrot Coffee,49.2729649,-123.134873,food,food,{}
A la Mode,49.2724188,-123.134633,food,food,{}
Café Prado,49.269394,-123.14098,food,food,{}
The Deluxe Chinese Restaurant,49.1827345,-123.1361226,food,food,{}
Faubourg Paris,49.2745255,-123.122419,food,food,{}
Zab Zaab,49.2748252,-123.123057,food,food,{}
Glory Juice,49.2755725,-123.1233974,food,food,{}
Coo Coo Coffee,49.2757447,-123.1237233,food,food,{}
iSushi Japanese Restaurant,49.2499167,-123.0340382,food,food,{}
Dragon Ball Tea House,49.2494619,-123.127949,food,food,{}
Viet Flavour Restaurant,49.2635437,-123.1463685,food,food,{}
Banana Leaf on Broadway,49.2631899,-123.122457,food,food,{}
Bistro Sakana,49.2753752,-123.1211177,food,food,{}
Minami,49.275246,-123.120775,food,food,{}
Hula,49.2755974,-123.120309,food,food,{}
Sushi High,49.2620492,-123.0332492,food,food,{}
Les Faux Bourgeois,49.2572991,-123.0896714,food,food,{}
Salsa and Agave Mexican Grill,49.2741,-123.1219573,food,food,{}
Po Kong,49.2505906,-123.0773215,food,food,{}
OLOVE GREEK KITCHEN,49.2804925,-122.9779761,food,food,{}
Cioppino's Mediterranean Grill,49.2756803,-123.121753,food,food,{}
Urban Thai Bistro,49.2757912,-123.121587,food,food,{}
Blue Water Cafe + raw bar,49.2760962,-123.121114,food,food,{}
Grand Dynasty,49.256509,-123.0061178,food,food,{}
Lynn Canyon Café,49.3432812,-123.0187015,food,food,{}
Togo Sushi,49.2539789,-123.2353357,food,food,{}
Point Grill,49.2617269,-123.2555515,food,food,{}
Jugo Juice,49.2544938,-123.2350343,food,food,{}
Brown's Social House,49.2636258,-123.1852738,food,food,{}
Sunrise Pizza and Steak House,49.2759178,-123.0697137,food,food,{}
Mogu Fried Chicken,49.2754879,-123.069294,food,food,{}
Diplomat Bakery,49.1175539,-123.1577755,food,food,{}
Omni Kitchen + Bar,49.1668527,-122.5814311,food,food,{}
Ta-Ke Don,49.2631815,-123.1220615,food,food,{}
Starbucks Coffee,49.197546,-123.178164,food,food,{}
Illy,49.198494,-123.179904,food,food,{}
Canucks Bar & Grill,49.1975226,-123.1741679,food,food,{}
Sushi Box,49.2307501,-122.906371,food,food,{}
Kumare,49.1642526,-123.134705,food,food,{}
Lin Chinese Cuisine And Tea House,49.2638063,-123.139683,food,food,{}
Laksa King,49.2810116,-123.0533803,food,food,{}
Ajiya Sushi,49.2678759,-123.1462727,food,food,{}
The Farmers Apprentice,49.2663456,-123.1395464,food,food,{}
Pane From Heaven,49.270906,-123.1476544,food,food,{}
Marpole Curling Club Cafe,49.2063346,-123.1235828,food,food,{}
Valley Sushi,49.3359374,-123.0389261,food,food,{}
Dachi,49.2813917,-123.0579502,food,food,{}
Doe Coffee,49.281317,-123.058712,food,food,{}
Octopus Garden,49.2726415,-123.149817,food,food,{}
Aperture Coffee Bar,49.2484235,-123.100841,food,food,{}
The Tipper,49.2445983,-123.064364,food,food,{}
Green Lemongrass,49.2529357,-123.0822523,food,food,{}
La Fontana Cafe,49.28147,-123.023092,food,food,{}
Poor Italian,49.2691037,-123.03418,food,food,{}
Indian Oven,49.267926,-123.1507143,food,food,{}
Arbutus Coffee,49.2663008,-123.152679,food,food,{}
TV Dinner Market & Café,49.268772,-123.145147,food,food,{}
La Terrazza,49.2749531,-123.118655,food,food,{}
Sushi Yamato,49.2766293,-123.1256382,food,food,{}
Basil Pasta Bar,49.2767875,-123.1258792,food,food,{}
Kinkura Sushi + Sake,49.2768123,-123.125931,food,food,{}
Bacchus Bistro,49.0218373,-122.6241106,food,food,{}
Kyuzo Japanese Restaurant,49.2338469,-123.139959,food,food,{}
Caffè Artigiano,49.2859592,-123.115236,food,food,{}
Vietnamese Tea House,49.2810107,-123.0537681,food,food,{}
James on Hastings Chinese Restaurant,49.281406,-123.049888,food,food,{}
Laughing Bean Coffee Co.,49.2814113,-123.049572,food,food,{}
C Lovers,49.3739709,-123.2744351,food,food,{}
Troll's,49.3744327,-123.2744359,food,food,{}
Delany's Coffee House,49.3341449,-123.1800579,food,food,{}
Vina Vietnamese Restaurant,49.3347926,-123.1829344,food,food,{}
The Lookout Café,49.374745,-123.2736184,food,food,{}
Beach House Restaurant,49.3331843,-123.1823282,food,food,{}
Wick's Cafe,49.2040556,-123.134982,food,food,{}
Wabukuro,49.2791132,-123.107422,food,food,{}
Good Choice Restaurant,49.2299673,-123.0908832,food,food,{}
Mary's Place,49.0772014,-122.9368321,food,food,{}
Burger Heaven,49.2012628,-122.916026,food,food,{}
Hangang Korean Restaurant,49.2487073,-122.8586736,food,food,{}
Lhy Thai,49.2194809,-122.949905,food,food,{}
Baiyulan Shanghai Cuisine,49.1777017,-123.1346039,food,food,{}
iTofu - Tofu Dessert Specialty Shop,49.1776771,-123.1348876,food,food,{}
Cockney Kings,49.2010553,-122.9166426,food,food,{}
Floata Seafood Restaurant,49.2793514,-123.100751,food,food,{}
Village Sushi,49.1187323,-123.1586368,food,food,{}
Café Terra,49.269881,-123.144966,food,food,{}
Red Robin,49.2845287,-123.125253,food,food,{}
Triple-O's,49.2726439,-123.1472791,food,food,{}
Sitar,49.283151,-123.103757,food,food,{}
The Greek Gastown,49.2830557,-123.1044882,food,food,{}
Boneta,49.2831498,-123.1049771,food,food,{}
L'Apres Midi Patisserie,49.2832144,-123.1047785,food,food,{}
Incendio,49.2834563,-123.102377,food,food,{}
The Birds & The Beets,49.2833593,-123.1028378,food,food,{}
Fiorino,49.278434,-123.099185,food,food,{}
Rodney's Oyster House,49.2743433,-123.123269,food,food,{}
Eat Bar & Patio Haraheri,49.2799957,-123.125224,food,food,{}
Bistro One Half,49.1238349,-123.185814,food,food,{}
Solo Pasta,49.2081527,-123.1401353,food,food,{}
Velo Star Cafe,49.2571777,-123.1202441,food,food,{}
Zestea,49.3227659,-123.0720834,food,food,{}
Honolulu Coffee,49.2344095,-123.1548741,food,food,{}
Lee Garden Seafood Restaurant,49.2198271,-122.9704204,food,food,{}
Applause,49.2109227,-123.1304363,food,food,{}
Marulilu Cafe,49.2633589,-123.114097,food,food,{}
Phở Hòa,49.2269711,-123.1287459,food,food,{}
AT Cafe,49.2079075,-123.1403014,food,food,{}
Big Feast Bistro,49.2190964,-122.5938336,food,food,{}
Red Tuna,49.2345961,-123.1845122,food,food,{}
Vegan Shoku Japanese Restaurant,49.2344835,-123.1593701,food,food,{}
ASA Sushi,49.2345042,-123.157945,food,food,{}
Hululu,49.2345067,-123.15809,food,food,{}
Orange Corner,49.2347568,-123.1587655,food,food,{}
Donair Dude,49.234702,-123.157175,food,food,{}
Adonia,49.2347191,-123.1536398,food,food,{}
Bubble World Restaurant,49.2048383,-122.910241,food,food,{}
La Notte,49.2572249,-123.1853564,food,food,{}
Pho Zen Vietnamese Cuisine,49.210637,-123.092205,food,food,{}
DooBoo,49.2187048,-122.9608282,food,food,{}
Joyful Seafood Restaurant,49.2229075,-122.9815414,food,food,{}
Pho Hong,49.2212878,-122.9765543,food,food,{}
Pho Super Bowl,49.2236028,-122.983964,food,food,{}
Miss Fu In Cheng Du,49.2257138,-122.99048,food,food,{}
Provence Marinaside,49.2732782,-123.119664,food,food,{}
Freshii,49.2566726,-122.7472741,food,food,{}
Sushi Well,49.2127087,-122.919996,food,food,{}
Sanjo Sushi,49.2128225,-122.920142,food,food,{}
New Fishport Seafood Bistro,49.2106207,-123.0925992,food,food,{}
Hi Dozo Sushi,49.2121752,-122.9218505,food,food,{}
Fresh Seafood & BBQ,49.1777093,-123.125377,food,food,{}
The TRUE'S TEA,49.1774963,-123.1300772,food,food,{}
Romers Burger Bar,49.2058672,-123.0426538,food,food,{}
Pizza Heaven,49.2050075,-122.9098742,food,food,{}
Royal Tandoori,49.2050502,-122.909935,food,food,{}
Sushi Inn Japanese Cuisine,49.2633351,-123.1872643,food,food,{}
Mamalee,49.264051,-123.175052,food,food,{}
Uncle Pu's Sichuan Taste,49.2640543,-123.1748733,food,food,{}
nuba,49.2640299,-123.1745214,food,food,{}
Neverland Tea Salon,49.2640168,-123.173364,food,food,{}
Tandoori Fusion,49.2639522,-123.169522,food,food,{}
The Painted Ship,49.2639533,-123.169618,food,food,{}
iki Japanese Bistro,49.2639326,-123.1676074,food,food,{}
Feng Cha,49.2632564,-123.127642,food,food,{}
Donair Spot,49.2631897,-123.1221966,food,food,{}
PalPal Noodle House,49.2261659,-122.99175,food,food,{}
Hanwoori Korean Restaurant,49.2217132,-122.9806709,food,food,{}
Maruhachi Ramen,49.2244672,-122.987867,food,food,{}
Baba Sweets & Restaurant,49.2230063,-122.932963,food,food,{}
Anny's,49.2149397,-122.922782,food,food,{}
Ho Fung,49.2149754,-122.92283,food,food,{}
Baba Sweets & Shivalik Restaurant,49.1720079,-122.890694,food,food,{}
Jagga Sweets,49.1718164,-122.89069,food,food,{}
Asian Spice,49.1743983,-122.8894768,food,food,{}
